time,lat,lon,count
2019-08-14 12:46:17,31.6,118.55,2
2019-08-14 12:46:17,31.6,119.0,2
2019-08-14 12:46:17,32.15,118.95,3
2019-08-14 12:46:17,32.25,118.9,1
2019-08-14 12:46:17,32.25,118.85,3
2019-08-14 12:46:17,31.95,118.7,109
2019-08-14 12:46:17,31.25,118.35,69
2019-08-14 12:46:17,32.2,118.7,31
2019-08-14 12:46:17,32.2,118.85,2
2019-08-14 12:46:17,32.15,118.6,4
2019-08-14 12:46:17,32.25,118.95,4
2019-08-14 12:46:17,31.6,118.9,1
2019-08-14 12:46:17,31.8,119.25,2
2019-08-14 12:46:17,31.35,118.3,2
2019-08-14 12:46:17,31.75,118.85,14
2019-08-14 12:46:17,31.3,118.9,12
2019-08-14 12:46:17,31.7,118.9,10
2019-08-14 12:46:17,31.6,118.65,2
2019-08-14 12:46:17,31.85,118.55,24
2019-08-14 12:46:17,31.5,118.35,2
2019-08-14 12:46:17,32.3,118.3,11
2019-08-14 12:46:17,32.1,118.55,3
2019-08-14 12:46:17,32.25,119.15,8
2019-08-14 12:46:17,32.05,118.75,131
2019-08-14 12:46:17,32.2,118.85,2
2019-08-14 12:46:17,32.0,119.1,24
2019-08-14 12:46:17,32.0,119.05,2
2019-08-14 12:46:17,32.1,118.95,5
2019-08-14 12:46:17,31.75,118.9,2
2019-08-14 12:46:17,31.85,118.9,3
2019-08-14 12:46:17,31.7,118.95,2
2019-08-14 12:46:17,32.3,118.75,2
2019-08-14 12:46:17,32.3,118.8,77
2019-08-14 12:46:17,32.15,119.25,3
2019-08-14 12:46:17,31.4,118.4,9
2019-08-14 12:46:17,31.4,118.35,7
2019-08-14 12:46:17,31.6,118.3,3
2019-08-14 12:46:17,31.25,118.25,1
2019-08-14 12:46:17,32.3,118.25,2
2019-08-14 12:46:17,31.35,118.95,5
2019-08-14 12:46:17,31.25,119.15,2
2019-08-14 12:46:17,31.35,118.95,10
2019-08-14 12:46:17,31.6,118.4,1
2019-08-14 12:46:17,31.9,118.65,1
2019-08-14 12:46:17,31.9,118.7,1
2019-08-14 12:46:17,32.05,118.8,17
2019-08-14 12:46:17,31.3,118.65,1
2019-08-14 12:46:17,32.2,119.2,8
2019-08-14 12:46:17,32.05,118.25,4
2019-08-14 12:46:17,31.4,119.1,1
2019-08-14 12:46:17,31.95,118.85,38
2019-08-14 12:46:17,32.15,118.8,1
2019-08-14 12:46:17,31.4,118.4,3
2019-08-14 12:46:17,31.2,118.35,19
2019-08-14 12:46:17,31.9,118.65,13
2019-08-14 12:46:17,32.15,118.75,11
2019-08-14 12:46:17,32.2,119.2,2
2019-08-14 12:46:17,32.05,118.25,26
2019-08-14 12:46:17,32.15,118.4,5
2019-08-14 12:46:17,32.0,118.55,1
2019-08-14 12:46:17,31.95,118.85,5
2019-08-14 12:46:17,31.9,118.6,10
2019-08-14 12:46:17,31.3,118.3,2
2019-08-14 12:46:17,31.7,118.95,2
2019-08-14 12:46:17,31.2,118.45,3
2019-08-14 12:46:17,31.4,119.2,2
2019-08-14 12:46:17,31.6,119.0,10
2019-08-14 12:46:17,31.7,118.75,1
2019-08-14 12:46:17,31.25,119.15,1
2019-08-14 12:46:17,31.9,119.15,2
2019-08-14 12:46:17,31.7,118.45,3
2019-08-14 12:46:17,31.35,118.4,10
2019-08-14 12:46:17,32.0,118.75,117
2019-08-14 12:46:17,32.2,118.55,3
2019-08-14 12:46:17,31.85,118.7,1
2019-08-14 12:46:17,31.85,118.65,6
2019-08-14 12:46:17,31.4,118.55,1
2019-08-14 12:46:17,31.75,118.7,3
2019-08-14 12:46:17,32.2,119.1,3
2019-08-14 12:46:17,32.1,118.3,1
2019-08-14 12:46:17,32.25,119.0,2
2019-08-14 12:46:17,31.85,118.3,2
2019-08-14 12:46:17,31.55,118.8,2
2019-08-14 12:46:17,32.25,119.15,10
2019-08-14 12:46:17,31.5,118.85,1
2019-08-14 12:46:17,32.1,119.0,8
2019-08-14 12:46:17,31.65,119.0,11
2019-08-14 12:46:17,32.3,118.9,1
2019-08-14 12:46:17,31.7,118.75,5
2019-08-14 12:46:17,31.55,118.45,12
2019-08-14 12:46:17,31.9,118.6,16
2019-08-14 12:46:17,31.65,118.55,2
2019-08-14 12:46:17,31.25,119.25,1
2019-08-14 12:46:17,31.95,118.65,4
2019-08-14 12:46:17,32.25,119.1,5
2019-08-14 12:46:17,31.85,118.95,4
2019-08-14 12:46:17,32.3,119.25,1
2019-08-14 12:46:17,32.3,119.2,1
2019-08-14 12:46:17,31.7,119.05,1
2019-08-14 12:46:17,31.85,118.65,1
2019-08-14 12:46:17,31.8,119.0,1
2019-08-14 12:46:17,31.25,118.3,24
2019-08-14 12:46:17,31.8,118.65,5
2019-08-14 12:46:17,31.2,118.6,2
2019-08-14 12:46:17,31.9,118.65,6
2019-08-14 12:46:17,31.9,118.7,1
2019-08-14 12:46:17,31.6,118.65,4
2019-08-14 12:46:17,31.6,118.7,3
2019-08-14 12:46:17,32.2,118.75,2
2019-08-14 12:46:17,31.35,118.45,8
2019-08-14 12:46:17,31.85,118.8,32
2019-08-14 12:46:17,32.15,119.2,2
2019-08-14 12:46:17,32.35,118.75,2
2019-08-14 12:46:17,31.6,118.9,4
2019-08-14 12:46:17,32.25,118.6,2
2019-08-14 12:46:17,31.6,118.45,3
2019-08-14 12:46:17,32.0,118.7,69
2019-08-14 12:46:17,31.3,118.7,2
2019-08-14 12:46:17,32.1,118.55,17
2019-08-14 12:46:17,32.05,118.7,82
2019-08-14 12:46:17,31.7,118.55,10
2019-08-14 12:46:17,31.85,118.45,11
2019-08-14 12:46:17,31.2,119.15,6
2019-08-14 12:46:17,31.95,119.0,1
2019-08-14 12:46:17,32.3,118.95,1
2019-08-14 12:46:17,32.3,118.85,3
2019-08-14 12:46:17,32.15,118.9,1
2019-08-14 12:46:17,31.6,119.05,2
2019-08-14 12:46:17,31.5,118.45,1
2019-08-14 12:46:17,31.6,118.6,1
2019-08-14 12:46:17,31.5,118.4,3
2019-08-14 12:46:17,31.85,118.95,5
2019-08-14 12:46:17,31.75,119.05,2
2019-08-14 12:46:17,31.65,118.45,7
2019-08-14 12:46:17,31.65,118.5,89
2019-08-14 12:46:17,32.15,118.25,3
2019-08-14 12:46:17,31.25,118.45,2
2019-08-14 12:46:17,31.35,119.05,2
2019-08-14 12:46:17,32.0,118.75,505
2019-08-14 12:46:17,31.85,118.8,8
2019-08-14 12:46:17,32.0,118.8,37
2019-08-14 12:46:17,32.35,118.4,2
2019-08-14 12:46:17,31.3,118.25,4
2019-08-14 12:46:17,32.0,119.25,2
2019-08-14 12:46:17,31.85,118.9,25
2019-08-14 12:46:17,32.3,118.5,2
2019-08-14 12:46:17,31.2,118.5,3
2019-08-14 12:46:17,32.25,118.7,17
2019-08-14 12:46:17,32.25,119.1,22
2019-08-14 12:46:17,32.25,119.05,2
2019-08-14 12:46:17,31.65,119.0,7
2019-08-14 12:46:17,32.3,118.25,2
2019-08-14 12:46:17,32.2,118.35,3
2019-08-14 12:46:17,31.35,118.95,20
2019-08-14 12:46:17,31.4,119.25,3
2019-08-14 12:46:17,31.2,119.05,2
2019-08-14 12:46:17,31.75,118.75,5
2019-08-14 12:46:17,31.75,118.8,2
2019-08-14 12:46:17,31.2,119.1,5
2019-08-14 12:46:17,31.85,118.4,6
2019-08-14 12:46:17,32.35,118.9,1
2019-08-14 12:46:17,32.0,119.0,7
2019-08-14 12:46:17,32.25,118.7,1
2019-08-14 12:46:17,32.25,118.65,1
2019-08-14 12:46:17,31.95,119.05,1
2019-08-14 12:46:17,31.8,118.75,2
2019-08-14 12:46:17,31.8,118.8,25
2019-08-14 12:46:17,31.35,118.4,12
2019-08-14 12:46:17,32.3,119.1,2
2019-08-14 12:46:17,31.55,118.45,2
2019-08-14 12:46:17,31.6,118.45,5
2019-08-14 12:46:17,31.6,118.5,4
2019-08-14 12:46:17,32.1,118.7,14
2019-08-14 12:46:17,31.75,118.35,1
2019-08-14 12:46:17,32.1,118.65,22
2019-08-14 12:46:17,31.85,118.8,2
2019-08-14 12:46:17,32.2,118.55,11
2019-08-14 12:46:17,31.55,118.8,3
2019-08-14 12:46:17,31.85,118.55,4
2019-08-14 12:46:17,31.4,118.7,3
2019-08-14 12:46:17,32.15,119.2,4
2019-08-14 12:46:17,32.15,118.8,1
2019-08-14 12:46:17,31.3,119.1,3
2019-08-14 12:46:17,32.1,118.75,34
2019-08-14 12:46:17,32.25,118.95,4
2019-08-14 12:46:17,32.1,118.85,13
2019-08-14 12:46:17,31.25,118.3,8
2019-08-14 12:46:17,31.8,118.95,5
2019-08-14 12:46:17,31.4,119.15,2
2019-08-14 12:46:17,31.25,118.95,4
2019-08-14 12:46:17,32.1,118.8,11
2019-08-14 12:46:17,31.5,119.25,15
2019-08-14 12:46:17,31.55,118.55,3
2019-08-14 12:46:17,31.95,119.15,6
2019-08-14 12:46:17,31.2,118.7,2
2019-08-14 12:46:17,31.6,118.85,2
2019-08-14 12:46:17,31.4,118.6,4
2019-08-14 12:46:17,32.0,118.8,48
2019-08-14 12:46:17,31.9,118.6,11
2019-08-14 12:46:17,32.15,118.45,4
2019-08-14 12:46:17,32.05,118.85,44
2019-08-14 12:46:17,32.05,118.9,8
2019-08-14 12:46:17,31.9,119.2,2
2019-08-14 12:46:17,32.1,119.25,2
2019-08-14 12:46:17,31.8,118.8,2
2019-08-14 12:46:17,32.0,119.0,1
2019-08-14 12:46:17,32.2,118.7,96
2019-08-14 12:46:17,32.2,118.65,2
2019-08-14 12:46:17,32.05,118.6,6
2019-08-14 12:46:17,32.0,118.85,3
2019-08-14 12:46:17,31.35,118.35,106
2019-08-14 12:46:17,31.85,118.6,7
2019-08-14 12:46:17,31.9,119.15,32
2019-08-14 12:46:17,32.05,118.55,12
2019-08-14 12:46:17,32.2,118.55,2
2019-08-14 12:46:17,31.6,118.85,1
2019-08-14 12:46:17,31.95,119.05,4
2019-08-14 12:46:17,31.95,119.1,4
2019-08-14 12:46:17,31.65,119.25,3
2019-08-14 12:46:17,31.45,118.35,2
2019-08-14 12:46:17,32.1,118.9,13
2019-08-14 12:46:17,32.1,118.85,22
2019-08-14 12:46:17,31.2,119.15,5
2019-08-14 12:46:17,31.75,118.5,13
2019-08-14 12:46:17,32.0,119.15,1
2019-08-14 12:46:17,31.85,118.8,7
2019-08-14 12:46:17,32.3,118.85,4
2019-08-14 12:46:17,32.3,118.45,3
2019-08-14 12:46:17,31.3,118.4,39
2019-08-14 12:46:17,32.35,118.8,23
2019-08-14 12:46:17,31.4,118.8,2
2019-08-14 12:46:17,31.65,118.6,3
2019-08-14 12:46:17,31.95,118.85,32
2019-08-14 12:46:17,31.25,119.2,4
2019-08-14 12:46:17,31.7,118.35,8
2019-08-14 12:46:17,31.9,119.1,6
2019-08-14 12:46:17,31.8,119.1,2
2019-08-14 12:46:17,31.25,118.35,9
2019-08-14 12:46:17,31.35,119.2,1
2019-08-14 12:46:17,31.35,118.35,19
2019-08-14 12:46:17,31.35,118.4,18
2019-08-14 12:46:17,32.0,118.7,99
2019-08-14 12:46:17,32.0,119.05,5
2019-08-14 12:46:17,31.3,118.7,2
2019-08-14 12:46:17,31.3,118.85,63
2019-08-14 12:46:17,31.4,118.4,2
2019-08-14 12:46:17,31.7,118.55,5
2019-08-14 12:46:17,32.35,118.3,7
2019-08-14 12:46:17,31.2,118.8,3
2019-08-14 12:46:17,31.85,118.4,2
2019-08-14 12:46:17,32.2,119.15,2
2019-08-14 12:46:17,31.35,118.25,4
2019-08-14 12:46:17,31.25,118.65,2
2019-08-14 12:46:17,31.8,118.9,2
2019-08-14 12:46:17,31.8,118.55,7
